Unnamed: 0,College_Name,State,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,tier
211,"Indian Institute of Information Technology -[IIIT], Bhopal ",Madhya pradesh,"1,79,500",--,6,6.4,5.3,6.1,6.5,5,6.8,T2
212,Jaypee University of Engineering and Technology ,Madhya pradesh,"1,89,500","96,500",7.9,7.8,7.9,7.5,8.9,7.4,7.6,T3
213,Oriental University ,Madhya pradesh,"65,000","30,000",7.2,7.5,6.7,7.2,7.7,7.1,7.1,T4
214,"Amity University, Gwalior ",Madhya pradesh,"1,64,000","64,000",8.6,8.8,8.5,8.4,9.3,8,8.3,T3
215,AKS University ,Madhya pradesh,"60,000","46,000",7.3,7.8,5.9,8.2,7.6,6.9,7.4,T4
216,Jagran Lakecity University ,Madhya pradesh,"1,15,000","75,000",8,8,7.9,7.8,8.6,7.4,8.1,T3
217,Jabalpur Engineering College ,Madhya pradesh,"22,300","10,000",7.2,7.5,6.4,7.4,6.9,7.4,7.3,T4
218,"Swami Vivekanand University, Sagar ",Madhya pradesh,"44,000","32,000",6.3,6.9,5,7,6.4,5.6,6.6,T4
219,"Acropolis Group of Institutions, Indore ",Madhya pradesh,"73,600","60,000",8.7,8.5,8.5,8.7,9,8.6,8.6,T3
220,LNCT University ,Madhya pradesh,"80,000","65,000",9,9,8.8,9.3,8.8,8.9,8.9,T3
221,"Avantika University, Ujjain ",Madhya pradesh,"2,22,500",--,9.1,9.3,8.5,9.3,8.5,9.5,9.2,T3
222,Ujjain Engineering College ,Madhya pradesh,"22,751","25,151",6.7,7.4,5.9,7.4,6.2,6.4,6.9,T4
223,Shri Govindram Seksaria Institute of Technology and ,Madhya pradesh,"75,550","1,18,425",7.4,8,6.7,7.7,7,7.5,7.2,T3
224,Lakshmi Narain College of Technology ,Madhya pradesh,"48,600","60,000",5.7,5.6,5.8,6.2,5.2,5.4,6.2,T4
225,National Institute of Technology ,Kerala,"53,797","27,405",8.1,8.4,7.9,7.7,8,8.1,8.2,T2
226,Indian Institute of Space Science and Technology ,Kerala,"1,42,400","87,400",8.1,8.9,7.8,8.5,8.6,7.7,7.2,T1
227,"College of Engineering, Trivandrum ",Kerala,"2,00,000","15,725",8.4,8.6,7.8,8,8.5,8.4,8.8,T3
228,"Cochin University of Science and Technology, School ",Kerala,"86,040","52,730",8.3,8.5,7.8,8.3,8.2,8.2,8.7,T3
229,Baselios Thomas I Catholicose College of Engineering ,Kerala,"85,000",--,7.4,7.5,8,8.5,7,6.5,7,T4
230,Cochin University of Science and Technology ,Kerala,"46,600","19,290",7.9,8.4,7.5,7.8,7.8,7.7,8.1,T3
231,Indian Institute of Technology ,Kerala,"35,850","2,22,350",8.6,9.2,7.7,9,8.6,8.7,8.6,T1
232,APJ Abdul Kalam Technological University ,Kerala,"29,000",--,7.8,8.1,6.9,8.2,8.1,7.5,8,T3
233,Federal Institute of Science and Technology ,Kerala,"75,100","87,050",8.1,8.3,7.5,8.3,8.8,8,7.8,T3
234,"Indian Institute of Information Technology [IIIT], Kottayam ",Kerala,"1,98,950",--,8.3,8.5,8.1,8.5,8.1,8.6,8.2,T2
235,Government Engineering College ,Kerala,"22,150","10,970",8.5,8.5,8,8.4,8.7,8.3,8.9,T3
236,National Institute of Electronics & Information Technology ,Kerala,"60,000","1,38,500",8.4,8.7,6.7,8.9,8.7,8.8,8.6,T2
237,TKM College of Engineering ,Kerala,"8,410","16,290",8.4,8.8,8.2,8.4,8.4,7.8,8.5,T3
238,Amal Jyothi College of Engineering ,Kerala,"1,00,000","96,000",7.6,7.9,7,7.9,9,6.9,7,T4
239,Hindustan College of Engineering ,Kerala,"50,000",--,8,8.3,7.6,8.1,8,8,7.9,T3
240,Marian Engineering College ,Kerala,"96,050","61,300",7.8,8.3,7.1,8.3,8.6,7.9,6.8,T4
241,"Saintgits College of Engineering, Kottayam ",Kerala,"75,000","1,71,900",8.3,8.4,7.9,8.6,8.8,7.8,8.1,T3
242,Rajiv Gandhi Institute of Technology ,Kerala,"22,000","22,000",7.9,8.3,7.3,8.1,8,7.4,8.4,T3
243,Mangalam College of Engineering Ettumanoor ,Kerala,"75,000","3,00,000",6.9,7,6.4,7.4,7.6,6.4,6.6,T4
244,NSS College of Engineering ,Kerala,"8,739","11,065",8.3,8.4,8,8.5,8,8.2,8.4,T3
245,Sree Chitra Thirunal College of Engineering ,Kerala,"62,668","75,041",8,8.6,6,8.3,7.5,8.3,9,T3
246,"Thejus Engineering College, Thrissur ",Kerala,"88,400","1,60,000",8,8.3,7.8,8.7,7.8,7.1,8.2,T3
247,Mar Athanasius College of Engineering ,Kerala,"8,225","21,950",8.4,8.5,8.2,8.2,8.8,8.1,8.5,T3
248,St. Thomas College of Engineering and Technology- ,Kerala,"58,150",--,8.3,8.4,7.9,8.6,8.5,7.8,8.3,T3
249,"College of Engineering Thalassery, Kannur ",Kerala,"38,250",--,7.2,7.8,6.3,7.8,7.5,6.6,7.3,T3
250,"KMCT College of Engineering, Kozhikode ",Kerala,"75,000",--,7.3,7.5,7.7,7.2,7.8,5.7,7.6,T4
251,"MEA Engineering College- [MEAEC], Malappuram ",Kerala,"75,000","60,000",8.2,8.1,8.6,8.3,8.7,6.6,8.7,T3
252,Rajagiri School of Engineering & Technology ,Kerala,"87,000","77,000",8.2,8.4,8,8.2,9,8.6,6.9,T4
253,Sahrdaya College of Engineering ,Kerala,"35,000","77,000",7.1,7.5,6.8,7.3,8.1,6.6,6.5,T4
254,"Trinity College of Engineering, Trivendrum ",Kerala,"75,000",--,6.8,7.6,6.4,7.3,6.7,6.1,6.5,T4
255,Birla Institute of Technology and Science ,Rajasthan,"4,45,475","4,45,475",8.9,8.8,8.2,8.8,9,9,9.3,T2
256,Indian Institute of Technology ,Rajasthan,"70,433","71,500",8.2,8,7.9,8.2,8.2,8,8.7,T1
257,Malaviya National Institute of Technology ,Rajasthan,"94,333","1,22,665",8.2,8.2,7.4,8,8.7,8.2,8.5,T2
258,"Singhania University, Jhunjhunu ",Rajasthan,"42,000","42,000",7.1,7.1,6.7,7.1,7.1,7,7.3,T4
259,Jaipur National University ,Rajasthan,"1,14,000","37,600",7.5,7.9,7,7.7,7.8,6.7,7.6,T3
260,Manipal University ,Rajasthan,"3,19,000","36,000",8.4,8.2,8.3,8.2,9.2,7.7,9,T3
261,JECRC University ,Rajasthan,"1,85,000","30,000",8.1,8.1,7.4,8.2,8.2,8.1,8.7,T3
262,SunRise University ,Rajasthan,"72,200","32,200",8.1,8.1,7.3,8.7,8.1,7.9,8.4,T3
263,"OPJS University, Churu ",Rajasthan,"71,200","76,200",7.2,7.1,7.6,7.6,7.7,6.3,6.8,T4
264,"Banasthali Vidyapith, Jaipur ",Rajasthan,"2,03,500","1,61,500",8.5,8.8,8.2,8.9,8.6,7.9,8.8,T3
265,"Amity University, Jaipur ",Rajasthan,"1,80,000","1,48,000",8,7.8,7.6,7.8,8.9,7.4,8.7,T3
266,Suresh Gyan Vihar University ,Rajasthan,"1,40,000","42,000",7.5,7.8,6.7,7.5,8.8,6.3,8,T3
267,IIS (Deemed to be University) ,Rajasthan,"99,300","25,500",8.3,8.6,8.5,8.6,8,7.9,8.4,T3
268,Madhav University ,Rajasthan,"70,000","13,000",7.8,7.9,7.5,8.2,7.9,7.3,7.8,T3
269,"Jagannath University, Jaipur ",Rajasthan,"1,14,000","1,80,000",7.3,7.1,6.7,7.9,7.7,6.9,7.4,T4
270,Indian Institute of Information Technology ,Rajasthan,"2,30,925",--,7.6,7.9,7.1,6.6,7.8,8,7.9,T2
271,"Tantia University, Sriganganagar ",Rajasthan,"30,000",--,8.6,8.8,8.4,9.3,8.8,7.1,9.1,T3
272,"Pacific University, Udaipur ",Rajasthan,"80,000","80,000",7.7,7.8,7.3,8.1,7.8,7.2,8,T3
273,"Swami Keshvanand Institute of Technology, Management and ",Rajasthan,"98,900","84,500",7.8,8.3,6.8,8.1,8.1,8,7.5,T4
274,Maharana Pratap University of Agriculture and Technology ,Rajasthan,"87,800","86,000",8,8.2,8,8,8.1,7.9,7.8,T3
275,"Poornima College of Engineering, Jaipur ",Rajasthan,"1,70,000","1,78,000",7.5,7.9,7.4,7.6,7.2,7.6,7.4,T4
276,"Shridhar University, Pilani ",Rajasthan,"99,300","61,300",6.7,6.2,6.6,6.5,6.5,7.3,6.8,T4
277,"Jaipur Engineering College and Research Centre, Jaipur ",Rajasthan,"92,000",--,7.7,7.9,6.6,7.5,7.3,8.1,8.5,T4
278,Birla Institute of Technology ,Rajasthan,"11,57,000",--,7.2,8.1,5.4,8.1,6.9,7.8,7.1,T4
279,Institute of Advanced Studies in Education ,Rajasthan,"79,400","64,000",8.2,8.9,8,8.3,8.4,7.5,7.9,T4
280,National Institute of Technology ,Haryana,"56,716","1,02,800",8.2,8,7.4,8.1,8.2,8.6,8.6,T2
281,Panjab University ,Haryana,"96,300","27,500",7.7,8.2,7.7,8,7.7,6.5,8.2,T3
282,Punjab Engineering College University of Technology ,Haryana,"96,750","93,500",8,7.9,7.3,7.6,7.7,8.4,9,T3
283,National Institute of Food Technology Entrepreneurship and ,Haryana,"1,71,550","1,52,950",8.1,8.5,7.1,6.9,9.4,8.5,7.9,T2
284,"University Institute of Engineering, Chandigarh University ",Haryana,"1,60,000","80,000",8.4,8.6,7.9,8.1,8.7,8.7,8.3,T3
285,"School of Engineering and Technology, NCU ",Haryana,"2,60,000","82,000",9,9,--,--,9,--,--,T3
286,"J.C. Bose University Of Science And Technology, ",Haryana,"83,625","83,625",7.3,7.7,6.5,7.4,6.6,7.7,7.6,T3
287,Manav Rachna International Institute Of Research And ,Haryana,"1,81,500","1,16,000",7.2,7.1,6.7,6.5,8.4,6.5,7.8,T3
288,Manav Rachna International Institute of Research and ,Haryana,"1,81,500","1,65,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6,T3
289,"Gurugram University, Gurgaon ",Haryana,"40,000",--,8.2,8.6,7.4,8.4,8.6,8,8.1,T3
290,"PDM University, Bahadurgarh, Bahadurgarh ",Haryana,"1,00,200","41,200",7.4,7.1,7.6,7.4,7.5,7.1,7.7,T3
291,"Amity University, Gurgaon ",Haryana,"2,30,000","1,56,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1,T3
292,National Institute of Technical Teachers Training and ,Haryana,"44,696","24,500",7.7,7.7,6.7,8.6,7.7,7.7,8,T2
293,"IILM University, Gurgaon ",Haryana,"3,30,000","4,30,000",8.4,8.2,7.4,8.5,8.6,8.6,8.8,T3
294,"University Institute of Engineering and Technology -[UIET], ",Haryana,"82,197","16,160",7.4,7.5,7.5,7.4,7,7,8.2,T3
295,"Starex University, Gurgaon ",Haryana,"80,000","40,000",8.8,9.1,9.1,8.7,8.6,8.5,8.7,T3
296,Indian Institute of Information Technology ,Haryana,"1,57,800",--,8.8,9.2,8.9,8.6,8.8,9.1,8.2,T2
297,"SRM University Delhi NCR, Sonepat ",Haryana,"2,72,000","1,67,250",7.8,8,7.5,7.9,8.1,7.6,7.9,T3
298,"Lingaya's Vidyapeeth, Faridabad ",Haryana,"1,34,500","84,500",7.8,8,7.5,8.1,7.7,7.3,8.1,T3
299,Modern Vidya Niketan ,Haryana,"1,35,000","95,000",7,7.2,6.4,7.7,7,6.8,6.8,T4
300,Delhi Technical Campus ,Haryana,"69,500",--,8.2,8.2,8.1,8.4,8,8.2,8.5,T3
301,Chandigarh College of Engineering and Technology ,Haryana,"64,240",--,6.9,7.2,6.4,7.1,6.9,6.5,7.3,T4
302,Manav Rachna University ,Haryana,"2,44,000","1,16,000",7.8,7.6,7.5,7.7,8.8,7.3,7.9,T3
303,Seth Jai Parkash Mukand Lal Institute of ,Haryana,"89,090",--,7.3,7.5,7.2,7.2,7.4,6.8,7.4,T4
304,"Sushant University / Ansal University, Gurgaon ",Haryana,"2,41,120","1,37,120",7.8,8,8,7.9,8.4,7,7.5,T3
305,"University Institute of Engineering and Technology, Maharshi ",Haryana,"74,288","84,288",7.2,7.1,7.5,6.6,8.6,5.7,7.7,T3
306,St. Andrews Institute of Technology and Management ,Haryana,"92,000",--,8.7,8.8,8.6,8.7,9,8.6,8.6,T3
307,Indian Institute of Technology ,Gujarat,"2,58,500","2,00,000",8.4,8.3,8.4,8.8,9.1,7.2,8.8,T1
308,Sardar Vallabhbhai National Institute of Technology ,Gujarat,"1,50,000","95,000",8,7.9,7.8,7.6,8.2,7.9,8.4,T2
309,Dhirubhai Ambani Institute of Information and Communication ,Gujarat,"1,54,000","1,97,000",8.7,8.8,8,8.4,8.7,9.2,8.8,T3
310,"Institute of Technology, Nirma University, Ahmedabad ",Gujarat,"1,97,200","2,64,000",8.3,8.3,7.9,8.3,8.9,8,8.3,T3
311,"Faculty of Technology and Engineering, Maharaja Sayajirao ",Gujarat,"7,640","8,340",8.1,8.4,6.6,8.5,8,8.3,8.8,T3
312,Nirma University ,Gujarat,"1,97,200","2,65,000",8.4,8.6,8,8.4,9.1,8.1,8.2,T3
313,Pandit Deendayal Petroleum University [PDPU] / (Energy ,Gujarat,"2,53,000","1,54,000",8.6,8.3,8.3,8.1,9.4,8.1,9.4,T3
314,"Pandit Deendayal Petroleum University, School of Technology ",Gujarat,"2,53,000","1,54,000",8.6,8.4,8.3,8.1,9.4,7.9,9.3,T3
315,Central Institute of plastics engineering & Technology- ,Gujarat,"65,000","77,000",7.5,7.6,6.8,7.5,7.9,7.5,7.5,T4
316,Sardar Patel University ,Gujarat,--,--,7.8,8.6,7,8.5,7.7,7.3,7.8,T3
317,"CEPT University, Ahmedabad ",Gujarat,"1,98,000","3,20,000",8.2,8.6,7.7,8.4,8.3,8.1,8,T3
318,Ganpat University ,Gujarat,"1,08,000","43,000",8.1,8.2,7.2,8.1,8.5,7.8,8.6,T3
319,"Indus University, Ahmedabad ",Gujarat,"96,000","1,26,000",7.5,7.9,7,7.7,7.8,6.8,7.9,T4
320,Navrachana University ,Gujarat,"1,14,000","1,12,000",7.7,7.7,7.4,8.2,8,7.2,7.8,T4
321,Indian Institute of Information Technology Vadodara ,Gujarat,"1,79,720","1,06,720",7.8,8.2,7.5,7.8,6.3,8.5,8.2,T2
322,"Uka Tarsadia University, Bardoli ",Gujarat,"94,000","44,000",8.1,7.8,7.9,8.2,9.4,6.9,8.3,T3
323,"GSFC University, Vadodara ",Gujarat,"1,21,250",--,8.1,8.8,6.4,8.7,8.5,7.9,8.4,T3
324,"Auro University, Surat ",Gujarat,"1,21,000",--,8.3,8.2,8.5,8.6,8.7,7.2,8.6,T3
325,L.D. College of Engineering ,Gujarat,"2,860","5,730",8.1,8.4,7.3,8.2,7.9,8.5,8.5,T3
326,RK University ,Gujarat,"76,500","50,000",8.5,9,7.9,8.6,9,7.8,8.5,T3
327,Institute of Infrastructure Technology Research and Management ,Gujarat,"29,100","89,500",7.6,8.3,7.3,8.4,7.9,6.9,6.5,T4
328,Indian Institute of Information Technology ,Gujarat,"1,47,000",--,7.9,8.4,8.5,7.8,7.5,6.5,8.4,T2
329,"C. U. Shah University, Wadhwan ",Gujarat,"77,800","1,03,800",7.7,7.6,7,8.2,7.8,7.4,7.9,T4
330,"P.P. Savani University, Surat ",Gujarat,"1,11,500","98,500",9.3,9.4,8.9,9.5,9.6,8.7,9.4,T3
331,Vishwakarma Government Engineering College ,Gujarat,"1,500","7,500",7.9,8.2,7.2,8.1,8.6,7.1,8.1,T4
332,Dharmsinh Desai University ,Gujarat,"1,52,000","1,40,000",7.7,8.5,7,8.3,7.1,8.1,6.9,T4
333,Thapar Institute of Engineering and Technology ,Punjab,"3,24,800","2,00,600",8.3,8,8.1,7.7,8.9,8.2,8.8,T3
334,Indian Institute of Technology ,Punjab,"2,19,800","39,970",8.5,8.5,8.1,8.2,9.1,8.4,8.9,T1
335,Panjab University ,Punjab,"96,300","27,500",7.7,8.2,7.7,8,7.7,6.5,8.2,T3
336,Punjab Engineering College University of Technology ,Punjab,"96,750","93,500",8,7.9,7.3,7.6,7.7,8.4,9,T3
337,I.K. Gujral Punjab Technical University ,Punjab,"88,750","83,150",8.1,8,7.4,8.7,8.3,7.7,8.7,T3
338,Dr BR Ambedkar National Institute of Technology ,Punjab,"6,76,000","2,28,000",7.9,8,7.7,7.6,8,8,8.3,T2
339,"University Institute of Engineering, Chandigarh University ",Punjab,"1,60,000","80,000",8.4,8.6,7.9,8.1,8.7,8.7,8.3,T3
340,Sant Longowal Institute of Engineering and Technology ,Punjab,"81,000","58,000",7.6,7.7,7.1,7.5,8.4,6.5,8.1,T2
341,Chitkara University ,Punjab,"6,66,000",--,8.5,8.4,7.7,8.5,8.9,8.7,8.7,T3
342,Chandigarh Group of Colleges ,Punjab,"94,000","95,000",8.1,8,7.4,8,8.3,8.6,8.4,T4
343,"RIMT University, Gobindgarh ",Punjab,"1,35,000","76,500",7.6,7.9,7.3,7.8,8,6.7,7.8,T3
344,National Institute of Technical Teachers Training and ,Punjab,"44,696","24,500",7.7,7.7,6.7,8.6,7.7,7.7,8,T2
345,"Guru Kashi University, Bathinda ",Punjab,"92,680","92,100",7.5,7.4,7.2,8,7.2,7.2,7.8,T3
346,"University Institute of Engineering and Technology -[UIET], ",Punjab,"82,197","16,160",7.4,7.5,7.5,7.4,7,7,8.2,T3
347,"Rayat Bahra University, Mohali ",Punjab,"1,00,000","40,000",7.7,7.8,7.4,8,7.7,7.4,7.6,T3
348,"DAV University, Jalandhar ",Punjab,"1,36,000","87,500",7.9,8.4,7,8.4,7,8,8.5,T3
349,"Plaksha, Mohali ",Punjab,"6,90,000","12,70,000",--,--,--,--,--,--,--,T3
350,Chandigarh Engineering College ,Punjab,"94,000","95,000",7.9,7.8,7.3,7.7,8.2,8.5,8,T4
351,Sant Baba Bhag Singh University ,Punjab,"82,500","1,03,300",8.5,9,8.2,8.6,8,8.5,8.6,T3
352,Chandigarh College of Engineering and Technology ,Punjab,"64,240",--,6.9,7.2,6.4,7.1,6.9,6.5,7.3,T4
353,"Global Institute, Amritsar ",Punjab,"3,18,000","1,25,000",8.3,8,8.2,8.7,8.8,7.9,8.3,T4
354,"Maharaja Ranjit Singh Punjab Technical University, Bathinda ",Punjab,"1,70,600","85,600",8.2,8.6,7.8,8.4,8.2,8.1,8.2,T3
355,Amritsar College of Engineering and Technology ,Punjab,"4,03,024","1,43,623",7.4,7.3,6.7,7.6,7.7,7.3,7.7,T4
356,Guru Nanak Dev Engineering College ,Punjab,"98,689","90,574",7.7,7.9,7.2,7.8,7.9,7.4,7.9,T3
357,Sri Guru Granth Sahib World University ,Punjab,"1,04,000","68,000",8.8,8.6,9,9,9.1,8.4,8.7,T3
358,Baba Banda Singh Bahadur Engineering College ,Punjab,"90,000","90,000",8.1,8.3,7.6,8.6,8.8,7,8,T4
359,Indian Institute of Technology ,West bengal,"82,070","2,31,500",8.5,8.8,7.2,8.2,8.9,8.8,9,T1
360,Jadavpur University ,West bengal,"2,400","24,000",8.4,9,7.6,8.5,8.1,8.4,9,T1
361,Indian Institute of Engineering Science and Technology ,West bengal,"70,000","81,500",8,8.3,7.7,7.9,7.9,7.5,8.4,T2
362,National Institute of Technology ,West bengal,"1,49,100","94,100",7.7,8,6.8,7.8,7.5,7.8,8.4,T2
363,Institute of Engineering and Management ,West bengal,"1,68,400",--,7.5,8.2,6.5,8,6.7,8.4,7.2,T4
364,Heritage Institute of Technology ,West bengal,"1,16,200","1,31,100",7.8,7.9,7,7.8,8.4,7.6,8.2,T3
365,Maulana Abul Kalam Azad University of Technology ,West bengal,"49,000","81,200",7.7,8.1,6.9,8,7.8,7.7,7.6,T3
366,Narula Institute of Technology ,West bengal,"1,29,800","1,22,600",8,8.5,7.2,8.2,8.3,7.8,8,T3
367,Haldia Institute of Technology ,West bengal,"1,16,350","1,04,600",7.8,7.9,7.2,7.5,8.5,7.2,8.3,T3
368,"Amity University, Kolkata ",West bengal,"2,07,000","1,58,000",8.2,8.1,7.7,8.4,8.8,7.4,8.5,T3
369,"Techno India University, Kolkata ",West bengal,"89,200","2,01,000",8,8.2,7.4,8.2,8.1,7.8,8.4,T3
370,"Adamas University, Kolkata ",West bengal,"1,72,800","1,34,850",8.2,8.3,7.5,8.5,9,7.8,7.8,T3
371,Sister Nivedita University ,West bengal,"1,49,500","1,49,500",8.2,8.2,7.6,8.9,7.9,7.8,8.7,T3
372,Asansol Engineering College ,West bengal,"1,34,068","1,08,100",7.8,8.1,7.2,7.8,8.4,7.6,7.7,T3
373,University of Engineering and Management ,West bengal,"1,61,200","1,50,000",8.1,8.6,7.2,8.5,7.9,8.8,7.7,T3
374,JIS College of Engineering ,West bengal,"1,29,800","1,22,600",7.9,8.1,7.2,8.4,8.1,7.8,8,T3
375,Kalyani Government Engineering College ,West bengal,"16,155","17,855",7.9,8.1,7.6,8,7.8,7.4,8.4,T3
376,Indian Institute of Information Technology ,West bengal,"17,120","2,02,020",6.8,7.6,6.4,7.2,6.1,7,6.5,T2
377,The Neotia University ,West bengal,"1,44,000","98,000",8.2,8.7,7.5,8.5,8.2,7.8,8.6,T3
378,Bengal Institute of Technology ,West bengal,--,--,7.4,7.9,6,7.5,7.1,7.7,8.2,T4
379,Siliguri Institute of Technology ,West bengal,"3,93,000","54,000",7.8,7.9,7.1,8,8.3,7.2,8.2,T3
380,"University Institute of Technology, University Of Burdwan ",West bengal,"71,200","26,000",6.5,7,5.9,7.2,6.6,5.4,6.6,T4
381,Jalpaiguri Government Engineering College ,West bengal,"14,877","51,916",7.8,7.8,7.9,7.8,7.4,7.3,8.8,T3
382,"Techno India Salt Lake, Kolkata ",West bengal,"4,83,800","2,73,000",7.5,7.9,6,7.8,7.5,7.6,8.3,T3
383,Bengal College of Engineering and Technology ,West bengal,"1,03,600","1,12,500",7.1,7.2,6.6,7.2,8,6.1,7.5,T4
384,Dr. B.C. Roy Engineering College ,West bengal,"1,08,980","1,19,000",7.7,7.9,7.3,7.7,8.1,7.2,7.8,T3
385,Bengal College of Engineering ,West bengal,"98,500",--,5.7,6.3,5.9,6,5.4,5.1,5.3,T4
386,Seacom Skills University ,West bengal,"82,000","80,000",7.5,8.4,6.4,8.9,7.4,6.7,7.3,T3
387,National Institute of Technology ,Orissa,"2,25,500","1,60,500",8.4,8.3,7.9,7.8,9.1,8.2,8.9,T2
388,Indian Institute of Technology ,Orissa,"2,28,676","2,33,884",7.8,8.1,8,8,7.8,7.8,7.2,T1
389,Institute of Technical Education and Research ,Orissa,"2,50,000","1,50,000",8.2,8.4,7.4,8.2,8.6,8.3,8,T3
390,"C. V. Raman Global University, Bhubaneswar ",Orissa,"1,19,000","97,000",7.6,7.9,7,7.5,8.2,7.5,7.6,T3
391,Veer Surendra Sai University of Technology ,Orissa,"91,280","91,140",7.9,8.2,7.7,7.9,7.4,7.7,8.4,T3
392,Biju Patnaik University of Technology ,Orissa,--,--,6.2,6.1,6.7,6.4,6.8,4.8,6.1,T4
393,Centurion University of Technology and Management ,Orissa,"1,00,000","40,000",8.1,8.3,7.6,8.5,8.4,7.4,8.5,T3
394,International Institute of Information Technology ,Orissa,"2,01,100","1,76,150",7.7,8,6.9,7.6,7.8,7.7,8.2,T2
395,"Indira Gandhi Institute of Technology- [IGIT], Dhenkanal ",Orissa,"34,500","34,500",7.8,8,8.3,7.9,7.7,6.7,8.4,T3
396,Silicon Institute of Technology ,Orissa,"6,00,000","2,70,000",7.7,8.5,7,8.1,7.3,7.7,7.5,T4
397,Silicon Institute of Technology ,Orissa,"3,80,000",--,7.7,8.3,7.4,7.9,8.8,6.6,7.4,T4
398,Xavier University ,Orissa,"3,08,000","2,17,000",8.2,8.7,7.8,8.4,9.2,6.8,8.4,T3
399,Bhubaneswar Engineering College ,Orissa,"2,52,000",--,7.5,7.2,7.5,7.7,7.7,7.3,7.8,T4
400,College of Engineering ,Orissa,"2,92,000","1,60,000",6.7,7.5,5.9,7,6.9,6,6.7,T4
401,National Institute of Science and Technology ,Orissa,"1,21,500","80,000",7.9,8.2,7.1,8.1,8.1,7.8,7.9,T4
402,College of Engineering and Technology ,Orissa,"2,35,000","1,22,000",7.7,8,7.6,7.6,7.1,7.9,8.1,T3
403,Gandhi Institute for Technology ,Orissa,"81,000","41,500",7.4,7.9,6.4,7.7,7.8,6.6,7.7,T4
404,Orissa Engineering College ,Orissa,"86,500",--,7.5,7.6,7,7.4,7.7,7.3,7.8,T4
405,Parala Maharaja Engineering College ,Orissa,"33,400","33,400",7.3,7.7,7.5,7.6,7.6,5.7,7.7,T3
406,"CSIR-Institute of Minerals and Materials Technology -[CSIR-IMMT], ",Orissa,--,--,7,6.3,5.3,7.8,7.3,7.3,7.7,T3
407,GITA Autonomous College ,Orissa,"1,08,000","91,300",8.7,9,8.3,8.9,8.8,8.3,8.6,T3
408,"Seemanta Engineering College, Mayurbhanj ",Orissa,"2,20,000","1,20,000",8,8.2,8,8.6,8.6,7,7.7,T3
409,"Trident Academy of Technology, Bhubaneswar ",Orissa,"1,08,300","72,000",8,8.3,7.5,8.3,8.1,7.9,7.9,T3
410,"Government College of Engineering, Kendujhar ",Orissa,"1,40,000",--,7,7.8,7.6,7.4,6.9,5.1,7.3,T3
411,CIPET: Centre for Skilling and Technical Support ,Orissa,"32,680","76,210",6.7,7,6.1,6.4,7.7,6.9,6.1,T4
412,"Vignan Institute of Technology And Management, Berhampur ",Orissa,"58,000",--,7.7,8.7,7.9,8.4,7.6,5.9,7.6,T4
413,Krupajal Engineering College ,Orissa,"72,000","79,000",6.3,6.6,6.3,6.5,6.9,4.9,6.5,T4
414,Indian Institute of Technology ,Uttarakhand,"2,21,700","23,250",8.4,8.5,7.6,7.9,9,8.6,8.9,T1
415,"Graphic Era University, School of Engineering and ",Uttarakhand,"2,36,400","1,21,000",8.2,8.3,7.7,8,8.6,8.8,8,T3
416,"College of Technology, GB Pant University of ",Uttarakhand,"65,344","46,244",7,7.1,6.7,6.9,7.3,6,7.7,T3
417,University of Petroleum and Energy Studies ,Uttarakhand,"16,04,500","5,57,250",8.1,8.1,7.8,7.9,8.6,7.7,8.2,T3
418,"Doon University, Dehradun ",Uttarakhand,"34,750",--,7.2,7.3,7,7.3,7.9,6.3,7.6,T3
419,DIT University ,Uttarakhand,"2,00,000","1,20,000",7.8,7.9,7.6,7.6,8.4,7.4,8,T3
420,Graphic Era University ,Uttarakhand,"3,23,400","92,900",8.3,8.2,7.9,8.4,8.6,8.1,8.4,T3
421,Graphic Era Hill University ,Uttarakhand,"2,75,600","79,600",8.1,7.9,7.8,8.1,8.4,7.7,8.4,T3
422,"ICFAI University, Dehradun ",Uttarakhand,"1,56,000","1,40,000",7.8,8.2,7.5,8.2,7.4,7.3,7.9,T3
423,"MotherHood University, Roorkee ",Uttarakhand,"71,650",--,8,8.3,7.9,7.6,8,8,8.3,T3
424,Himgiri Zee University ,Uttarakhand,"90,000","80,000",7.9,8.5,5.5,9,8,7.7,8.8,T3
425,Swami Rama Himalayan University ,Uttarakhand,"2,12,250","84,000",7,7.1,6.6,6.9,7.4,7.1,6.7,T3
426,"Tula's Institute, Dehradun ",Uttarakhand,"1,12,500","91,500",7.8,8,7.2,7.7,8.5,7.4,8.2,T4
427,THDC Institute of Hydro Power Engineering and ,Uttarakhand,"73,500",--,6.9,6.8,6.4,7.4,7.8,5.6,7.2,T4
428,College of Engineering ,Uttarakhand,"1,36,150","1,19,150",8.3,8.4,8.1,8.1,8.7,7.5,8.8,T4
429,Shivalik College of Engineering ,Uttarakhand,"1,01,400","46,400",7.2,7.1,7.1,7.3,7.2,7.1,7.3,T4
430,Women Institute of Technology ,Uttarakhand,"75,500",--,7.9,9,7.4,9,7.2,6.7,8.3,T4
431,Indian Institute of Aeronautical Engineering ,Uttarakhand,"3,00,000","3,00,000",8.3,7.5,8.5,8.5,9,8,8,T4
